"sbj" "order" "orderCond" "Cond" "Trial" "summed_BC" "first" "second" "third" "fourth" "hemisph"
"sbj_01" 1 1 "1" 1 -0.0384700421243906 -0.0764585301280022 0.0351735666394234 -0.0265601098537445 0.0293750312179327 "Left"
"sbj_01" 1 1 "1" 1 0.259052258729935 0.0864579752087593 0.112821505963802 0.0302351281046867 0.0295376494526863 "Right"
"sbj_01" 5 2 "1" 2 -0.0278159633278847 -0.127238109707832 0.0230659790337086 0.0216536723077297 0.0547024950385094 "Right"
"sbj_01" 5 2 "1" 2 0.0210136756300926 -0.0290136694908142 -0.0632102772593498 0.0256056860089302 0.0876319363713264 "Left"
"sbj_01" 9 3 "1" 3 0.00524320751428604 -0.0380618959665298 0.0488908350467682 0.00788861811161041 -0.0134743496775627 "Left"
"sbj_01" 9 3 "1" 3 0.0152955934405327 -0.00752221196889877 -0.0230585768818855 0.055097159743309 -0.00922077745199204 "Right"
"sbj_01" 12 4 "1" 4 -0.0599686160683632 0.0088754802942276 -0.0569002710282803 0.0218879029154778 -0.0338317282497883 "Right"
"sbj_01" 12 4 "1" 4 -0.314203221350908 -0.20904146283865 -0.0734187752008438 -0.0292278617620468 -0.0025151215493679 "Left"
"sbj_01" 19 5 "1" 5 -0.114949380606413 -0.106229391694069 -0.0206978410482407 0.0291128069162369 -0.0171349547803402 "Right"
"sbj_01" 19 5 "1" 5 -0.153263019770384 -0.0475326478481293 -0.0398142121732235 -0.0694558724761009 0.00353971272706985 "Left"
"sbj_01" 3 1 "2" 1 0.157187341153622 0.148454444110394 -0.0241513982415199 0.00953709483146667 0.0233472004532814 "Left"
"sbj_01" 3 1 "2" 1 0.217667026817799 0.177032166719437 0.00603144019842148 0.024128432571888 0.0104749873280525 "Right"
"sbj_01" 6 2 "2" 2 0.157887462899089 0.063427822291851 0.111101989448071 0.0299398966133595 -0.0465822454541922 "Right"
"sbj_01" 6 2 "2" 2 0.203482896089554 -0.059290486574173 0.144276288151741 0.0602813646197319 0.0582157298922539 "Left"
"sbj_01" 10 3 "2" 3 -0.0544850811362267 -0.0494918167591095 0.0426285862922668 -0.00280241072177887 -0.0448194399476051 "Left"
"sbj_01" 10 3 "2" 3 0.128303307294846 -0.0171117559075356 0.0514159977436066 0.0561515241861343 0.0378475412726402 "Right"
"sbj_01" 11 4 "2" 4 0.242834578454494 0.171900746226311 0.0461369559168816 0.0247329615056515 6.39148056507111e-05 "Right"
"sbj_01" 11 4 "2" 4 0.0884552128612995 0.0643110305070877 0.068535752594471 -0.00518980771303177 -0.0392017625272274 "Left"
"sbj_01" 15 5 "2" 5 -0.0287688687443733 0.0329409867525101 -0.0204931914806366 -0.0707356557250023 0.0295189917087555 "Left"
"sbj_01" 15 5 "2" 5 0.086283777654171 0.00780360698699951 -0.0171719260513782 0.0723770387470722 0.0232750579714775 "Right"
"sbj_01" 2 1 "3" 1 0.149629228562117 0.0733655691146851 0.111176852881908 -0.114239122718573 0.0793259292840958 "Left"
"sbj_01" 2 1 "3" 1 -0.108899004757404 -0.05722436606884 -0.0513571530580521 -0.0557086393237114 0.0553911536931992 "Right"
"sbj_01" 8 2 "3" 2 0.0881081141531467 -0.013948792219162 -0.0205460041761398 0.0557445518672466 0.0668583586812019 "Right"
"sbj_01" 8 2 "3" 2 0.0815254181623459 -0.0101256042718887 0.00168024301528931 0.00967265665531158 0.0802981227636337 "Left"
"sbj_01" 14 3 "3" 3 0.213881096988916 0.134529066085815 -0.00137555971741676 0.0418280586600304 0.0388995319604874 "Right"
"sbj_01" 14 3 "3" 3 0.0567382648587227 0.0217921912670135 -0.00459814518690109 0.00972853600978851 0.0298156827688217 "Left"
"sbj_01" 18 4 "3" 4 -0.107425606250763 -0.0593314349651337 -0.0250232324004173 -0.0540287852287292 0.0309578463435173 "Left"
"sbj_01" 18 4 "3" 4 -0.0521832183003426 0.0734412163496017 -0.0712049700319767 -0.0429902367293835 -0.0114292278885841 "Right"
"sbj_01" 20 5 "3" 5 0.161096289008856 0.0725759595632553 -0.0327748984098434 0.0617694437503815 0.0595257841050625 "Left"
"sbj_01" 20 5 "3" 5 0.0707912407815456 0.061162069439888 -0.0109317019581795 0.00391317754983902 0.0166476957499981 "Right"
"sbj_01" 4 1 "4" 1 -0.193545907735825 -0.117176453769207 -0.0141830250620842 -0.0258998915553093 -0.0362865373492241 "Left"
"sbj_01" 4 1 "4" 1 -0.072850739210844 -0.0812271989881992 -0.0195004627108574 0.00488305315375328 0.0229938693344593 "Right"
"sbj_01" 7 2 "4" 2 0.00111282095313072 0.0342574283480644 0.0292045325040817 -0.0368458040058613 -0.0255033358931541 "Right"
"sbj_01" 7 2 "4" 2 0.0465850085020065 -0.116244986653328 0.0420558035373688 0.0392152279615402 0.0815589636564255 "Left"
"sbj_01" 13 3 "4" 3 0.128976619243622 0.00225563943386078 0.0402535051107407 0.13622453212738 -0.04975705742836 "Left"
"sbj_01" 13 3 "4" 3 0.0554978765547276 -0.0566625103354454 0.059938645362854 0.00440899059176445 0.0478127509355545 "Right"
"sbj_01" 16 4 "4" 4 -0.110420617461205 -0.0675556391477585 0.0272752553224564 -0.0405301719903946 -0.0296100616455078 "Left"
"sbj_01" 16 4 "4" 4 -0.0208072125911713 -0.0937079474329948 0.0230716615915298 -0.0102330893278122 0.0600621625781059 "Right"
"sbj_01" 17 5 "4" 5 0.270346602797508 0.176001189649105 0.0765093177556992 0.00584941059350967 0.0119866847991943 "Right"
"sbj_01" 17 5 "4" 5 0.0948813252151012 0.132407653331757 -0.0357639476656914 0.0259786576032639 -0.0277410380542278 "Left"
"sbj_02" 1 1 "1" 1 -0.0387791357934475 -0.035694295167923 0.0264172330498695 0.0182215303182602 -0.0477236039936543 "Right"
"sbj_02" 1 1 "1" 1 -0.162039870023727 -0.0531890451908112 -0.065506536513567 -0.0319421634078026 -0.0114021249115467 "Left"
"sbj_02" 9 2 "1" 2 -0.0557649157941341 -0.0779989033937454 0.0440341927111149 -0.018885013461113 -0.00291519165039063 "Left"
"sbj_02" 9 2 "1" 2 0.15176874101162 0.0879360988736153 0.039712356030941 0.0112981140613556 0.0128221720457077 "Right"
"sbj_02" 10 3 "1" 3 -0.228963480889797 -0.132993747293949 -0.10138308852911 -0.0101281978189945 0.0155415527522564 "Left"
"sbj_02" 10 3 "1" 3 0.0441346883773804 0.0507196083664894 -0.0134480699896812 0.0215124681591988 -0.0146493181586266 "Right"
"sbj_02" 11 4 "1" 4 0.231758050620556 0.179954540729523 -0.00309006869792938 0.0301405355334282 0.0247530430555344 "Right"
"sbj_02" 11 4 "1" 4 0.070321574062109 0.0276839375495911 -0.0147299207746983 -0.00575601309537888 0.0631235703825951 "Left"
"sbj_02" 15 5 "1" 5 -0.0190048307180405 -0.0353081539273262 0.0121383413672447 0.00865409448742866 -0.00448911264538765 "Left"
